No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
428,aws/aws-lambda-java-libs,https://github.com/aws/aws-lambda-java-libs,68,55,232,523,31366,44,14,0,289,32,116596491.9,116596491.9,80177512.64,80177512.64,1700775.63,826006.45,230183.6563,5/18/2015
429,thepowersgang/mrustc,https://github.com/thepowersgang/mrustc,53,45,114,2228,16278,20,3,0,5732,253,116529421,116529421,96017469.5,96017469.5,100627.71,51654.16,28976.9,11/28/2014
430,numworks/epsilon,https://github.com/numworks/epsilon,71,57,464,1762,69360,349,30,0,26857,201,116305420.5,116305420.5,31046414.98,5637009.51,106351.27,131978.91,44706.16,8/28/2017
431,hyrise/hyrise,https://github.com/hyrise/hyrise,82,40,158,807,120780,68,17,0,1965,288,116246973.4,116246973.4,98769187.6,98769187.6,36475.87,697955.92,9363.35,4/6/2017
432,hrydgard/ppsspp,https://github.com/hrydgard/ppsspp,471,521,2211,11643,321595,1234,47,71,41918,274,115384403.7,115384403.7,8958326.3,908056.06,122527.44,7113.52,2215.25,11/1/2012
433,utopia-rise/fmod-gdextension,https://github.com/utopia-rise/fmod-gdextension,11,20,55,507,54760,36,1,18,235,277,115384371,115384371,21986438.81,21986438.81,197747.34,1244542.76,33312.58,3/28/2019
434,ssloy/tinyrenderer,https://github.com/ssloy/tinyrenderer,10,421,2013,21053,66699,45,1,0,118,292,115303173,115303173,7069043.578,7069043.578,1768514.07,3088919.41,9860.1,1/17/2015
435,qTox/qTox,https://github.com/qTox/qTox,362,286,1065,4781,47999,582,28,25,8298,90,114739068.9,114739068.9,2436154.65,5618650.55,4374.36,279563.73,86005.44444,6/24/2014
436,PDAL/PDAL,https://github.com/PDAL/PDAL,190,70,448,1169,203736,115,13,37,10116,271,114234123.6,114234123.6,41991403.93,1201396.17,18931.61,152388.99,6948.67,8/19/2011
437,AMReX-Codes/amrex,https://github.com/AMReX-Codes/amrex,237,56,364,570,56562,124,17,75,27292,269,114225093.1,114225093.1,17216545.2,2973645.09,1425514.84,106281.26,8942.61,4/28/2017
438,Bitcoin-ABC/bitcoin-abc,https://github.com/Bitcoin-ABC/bitcoin-abc,882,144,770,1231,269204,80,6,171,29171,294,114132133.2,114132133.2,26932385.03,26932385.03,145021.08,10500.61,15790.31,5/1/2017
439,fltk/fltk,https://github.com/fltk/fltk,65,55,293,1791,39926,65,10,3,11885,256,114121253.9,114121253.9,80698381.82,80698381.82,49158.13,52706.71,9533.7,9/18/2018
440,giuspen/cherrytree,https://github.com/giuspen/cherrytree,86,106,472,3488,77231,999,1,38,4117,286,113828693,113828693,105470639.3,2885630.86,31179.07,192012.15,23199.85,3/22/2015
441,pencil2d/pencil,https://github.com/pencil2d/pencil,71,72,275,1501,88289,169,19,12,5208,154,113441142.2,113441142.2,50565755.04,8936352.09,821808.39,341079.49,51045.38,6/26/2013
442,po-devs/pokemon-online,https://github.com/po-devs/pokemon-online,110,43,170,291,126507,12,2,24,9114,1,113076531,113076531,235078922.5,235078922.5,110423.92,398025.06,0,9/1/2011
443,firebase/firebase-ios-sdk,https://github.com/firebase/firebase-ios-sdk,253,232,1515,5920,82660,355,59,130,7569,273,112470207.4,112470207.4,13061137.29,632693.78,82839.37,58042,1319.6,4/22/2017
444,yaneurao/YaneuraOu,https://github.com/yaneurao/YaneuraOu,32,37,145,535,82154,0,1,32,2245,98,111953816,111953816,0,0,30378.5,76600.96,77607.76531,1/17/2016
445,ethz-asl/ethzasl_msf,https://github.com/ethz-asl/ethzasl_msf,35,140,439,1015,21340,57,6,0,666,24,111839334.3,111839334.3,23234184.74,23234184.74,331096.22,2481266.6,331537.2917,11/22/2011
446,keyboardio/Kaleidoscope,https://github.com/keyboardio/Kaleidoscope,124,39,263,766,23548,179,21,0,6370,162,111628166.2,111628166.2,19984758.33,4868953.46,82622.77,257425.8,32799.83,11/2/2013
447,AcademySoftwareFoundation/openvdb,https://github.com/AcademySoftwareFoundation/openvdb,71,160,666,2803,121990,153,43,27,4478,283,110975198.3,110975198.3,25584994.48,4031048.93,482964.29,48348.2,29291.45,4/12/2013
448,Misfittech/nano_stepper,https://github.com/Misfittech/nano_stepper,8,55,179,430,10379,14,2,0,104,5,110694594,110694594,50312160,50312160,1048862.66,1062862.95,1290400.2,8/7/2016
449,openblack/openblack,https://github.com/openblack/openblack,15,42,67,1313,10770,91,16,1,2162,82,110517964.9,110517964.9,37532856.86,37532856.86,173186.91,155521.7,96566.5,1/15/2018
450,cpputest/cpputest,https://github.com/cpputest/cpputest,166,86,519,1388,12041,169,23,7,4609,96,110469415.9,110469415.9,50371850.87,8203946.8,38809.98,635587.15,80943.46875,8/2/2012
451,mysql/mysql-server,https://github.com/mysql/mysql-server,669,565,3964,11038,4570646,0,6,0,184772,287,109943910.2,109943910.2,0,0,21479.74,15748.65,13546.39,9/26/2014
452,boostorg/math,https://github.com/boostorg/math,135,34,227,319,183386,60,29,10,7410,162,109887887.3,109887887.3,44255953.22,44255953.22,1083295.55,133833.33,27529.8,1/13/2013
453,jasperla/openbsd-wip,https://github.com/jasperla/openbsd-wip,179,62,89,267,135935,2,7,0,18199,204,109427875.7,109427875.7,107678197,107678197,2641.55,47814.07,44566.9,8/26/2011
454,mapeditor/tiled,https://github.com/mapeditor/tiled,424,352,1769,11414,101480,685,48,96,6825,285,109362264,109362264,47193596.71,4317911.9,334519.24,105722.64,6163.17,2/27/2011
455,sass/libsass,https://github.com/sass/libsass,134,156,464,4341,12648,136,20,64,4196,16,109278046.8,109278046.8,14140117.63,9209828.37,25073.27,1305234.77,423332.5,1/31/2012
456,rehlds/ReGameDLL_CS,https://github.com/rehlds/ReGameDLL_CS,56,63,204,601,29768,223,23,35,755,134,109264574.7,109264574.7,18302181.87,7106439.53,338522.95,317424.22,60619.23,5/6/2015
457,isc-projects/kea,https://github.com/isc-projects/kea,126,41,145,534,147196,0,21,0,36864,110,108950033.2,108950033.2,0,0,69928.55,50294.81,74971.87,7/22/2014
458,christopherpow/nesicide,https://github.com/christopherpow/nesicide,45,22,36,318,75391,18,2,2,2129,3,108948972.5,108948972.5,40101122.39,40101122.39,6430.1,703427.34,1006560.333,1/24/2013
459,GarageGames/Torque3D,https://github.com/GarageGames/Torque3D,98,204,1195,3352,203983,309,64,15,3540,9,108623667.8,108623667.8,16274046.88,10790095.94,41598.53,1018481.49,773661.7778,9/18/2012
460,firoorg/firo,https://github.com/firoorg/firo,609,99,353,734,218089,24,16,103,17546,300,108493285.8,108493285.8,217787276.6,217787276.6,145021.08,367806.96,20856.69,9/9/2016
461,rweather/arduinolibs,https://github.com/rweather/arduinolibs,15,25,212,452,23946,30,4,0,289,15,108475981.5,108475981.5,15915146.93,15915146.93,868367.9,2577603.25,508568.9333,5/25/2012
462,huggle/huggle3-qt-lx,https://github.com/huggle/huggle3-qt-lx,79,24,89,181,44594,17,5,56,4223,38,108040171.4,108040171.4,44247656.41,44247656.41,6106.76,520164.49,200694.7632,9/18/2013
463,OpenZWave/open-zwave,https://github.com/OpenZWave/open-zwave,504,28,913,1055,141579,141,24,0,7532,11,107920150.2,107920150.2,15811958.25,3523996.79,58592.3,557579.86,604036.2727,3/14/2015
464,stillwater-sc/universal,https://github.com/stillwater-sc/universal,30,33,60,426,122398,48,1,10,4130,82,107855396,107855396,24847106.98,24847106.98,113874.33,423138.78,85369.90244,5/1/2017
465,gitahead/gitahead,https://github.com/gitahead/gitahead,25,53,251,1856,66233,275,23,18,421,36,107818698.8,107818698.8,774721.91,13935208.66,203152.94,1027555.16,192551.8056,11/30/2018
466,google/googletest,https://github.com/google/googletest,473,1228,10235,35325,13538,299,87,9,4456,276,107815165.7,107815165.7,4634620.39,1585045.83,194272.08,316220.87,4734.71,7/28/2015
467,gerbera/gerbera,https://github.com/gerbera/gerbera,106,41,216,1220,72690,61,6,33,5679,300,107675925.7,107675925.7,165345115.8,165345115.8,38676.24,111396.62,8001.12,8/9/2014
468,cmu-db/noisepage,https://github.com/cmu-db/noisepage,55,85,506,1744,18062,180,11,1,879,12,107201166.8,107201166.8,10724770.72,4762868.37,20104.06,218525.85,533783.25,7/9/2018
469,boostorg/python,https://github.com/boostorg/python,110,29,207,484,20944,160,29,0,2627,58,107132184.7,107132184.7,11912312.62,8842788.01,98002.93,1414126.21,122551.5,1/13/2013
470,Qalculate/qalculate-gtk,https://github.com/Qalculate/qalculate-gtk,29,22,73,1005,22198,147,1,65,918,143,107031475,107031475,25233209,4198748.88,352835.41,320856.52,60403.34,6/2/2016
471,DISTRHO/DPF,https://github.com/DISTRHO/DPF,27,22,98,682,27800,51,11,0,2321,122,107028645.5,107028645.5,90845305.18,90845305.18,105982.79,210597.04,47619.19,5/12/2014
472,jtv/libpqxx,https://github.com/jtv/libpqxx,66,46,248,1057,10625,9,2,58,4182,292,106581728,106581728,137682223.3,137682223.3,509967.36,224526.27,8557.8,9/22/2016
473,OpenSpace/OpenSpace,https://github.com/OpenSpace/OpenSpace,60,58,126,819,471097,667,8,22,11752,264,106463337.1,106463337.1,31600764.32,2923582.93,82178.86,131381.84,3469.92,7/1/2015
474,texstudio-org/texstudio,https://github.com/texstudio-org/texstudio,128,56,351,2919,279079,447,1,189,11860,292,106435922,106435922,16402072.81,392543.27,70098.17,63101.91,6108.13,11/28/2017
475,barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,28,215,2843,22088,42243,534,2,31,783,294,106324143,106324143,3355631.5,4471157.1,39234.39,814341.22,2925.49,6/23/2019
476,avast/retdec,https://github.com/avast/retdec,70,241,957,8093,32495,424,6,6,2161,153,106302044.3,106302044.3,10019227.9,6328706.97,17131.59,635717.91,49504.83,12/12/2017
477,stevschmid/track-o-bot,https://github.com/stevschmid/track-o-bot,8,39,86,488,12481,49,2,34,531,1,106280768.5,106280768.5,16944371.35,16944371.35,24877.99,565178.96,0,5/15/2014
478,bareos/bareos,https://github.com/bareos/bareos,198,59,273,1015,126899,49,32,64,13599,251,105943244.4,105943244.4,5244857.388,5244857.388,197557.69,156598.1,3574.44,8/12/2013
479,fruxo/turbobadger,https://github.com/fruxo/turbobadger,16,52,85,581,10941,46,6,0,652,10,105875811.7,105875811.7,16243245.93,16243245.93,172063.98,572792.67,348156.9,9/1/2012
480,flexflow/flexflow-train,https://github.com/flexflow/flexflow-train,70,30,234,1748,282772,228,19,8,2590,294,105795492.9,105795492.9,35345181.29,11027994.18,630536.83,396571.18,7954.3,12/8/2018
481,bwapi/bwapi,https://github.com/bwapi/bwapi,36,91,275,1616,152733,126,2,9,2639,24,105750936.5,105750936.5,1024009.33,30130911.43,15799.76,2180294.75,287113.8333,1/19/2014
482,simgrid/simgrid,https://github.com/simgrid/simgrid,104,19,93,169,137366,21,2,22,37126,85,105560079.5,105560079.5,178802759.8,178802759.8,120115.15,16937.9,83961.74118,2/8/2012
483,OpenChemistry/avogadrolibs,https://github.com/OpenChemistry/avogadrolibs,197,25,180,499,72059,90,21,11,5998,277,105540074,105540074,126596026.4,126596026.4,498652.8,4611.08,7210.01,4/28/2012
484,AcademySoftwareFoundation/OpenShadingLanguage,https://github.com/AcademySoftwareFoundation/OpenShadingLanguage,87,197,370,2136,223349,44,20,49,3099,297,105452488.9,105452488.9,151245764.5,151245764.5,268723.05,253867.79,20518.92,3/10/2011
485,imbs-hl/ranger,https://github.com/imbs-hl/ranger,36,42,194,776,20387,76,11,7,1558,64,105358725,105358725,84183231.34,84183231.34,75431.89,316826.58,88742.65625,8/25/2015
486,recastnavigation/recastnavigation,https://github.com/recastnavigation/recastnavigation,85,385,1638,6730,24038,76,19,3,864,275,104876681.9,104876681.9,123856518.2,123856518.2,263526.46,1675253.11,17770.08,9/15/2013
487,randombit/botan,https://github.com/randombit/botan,167,112,574,2789,106651,184,33,0,17041,291,104841941.6,104841941.6,14383271.66,1094465.52,30825.78,18014.02,1945.37,3/6/2013
488,leozide/leocad,https://github.com/leozide/leocad,28,67,212,2517,22224,230,8,23,2397,279,104537811.5,104537811.5,17939126.23,10660608.36,192841.27,274723.49,44144.74,9/14/2016
489,BTCGPU/BTCGPU,https://github.com/BTCGPU/BTCGPU,741,141,338,669,85292,29,2,10,18598,36,104272077.5,104272077.5,68941175.24,68941175.24,145021.08,1844787.27,187951.6111,7/23/2017
490,COVESA/dlt-viewer,https://github.com/COVESA/dlt-viewer,119,44,249,452,14994,32,6,10,1245,257,103944517.5,103944517.5,38637405.25,38637405.25,442624.36,104353.19,32987.15,8/31/2016
491,networkit/networkit,https://github.com/networkit/networkit,110,28,231,778,269834,56,22,0,8956,172,103735712.3,103735712.3,73455220.16,73455220.16,75164.77,104637.71,9309.31,2/4/2017
492,quantcast/qfs,https://github.com/quantcast/qfs,46,100,171,644,28148,15,4,15,4876,25,103133312,103133312,99988862.33,99988862.33,25302.21,312145.08,163058.84,8/17/2012
493,f4exb/sdrangel,https://github.com/f4exb/sdrangel,91,145,455,3035,189023,83,1,313,10332,274,102899923,102899923,90771159.28,90771159.28,215374.96,60600.77,18268.71,8/30/2015
494,COMBINE-lab/salmon,https://github.com/COMBINE-lab/salmon,53,38,164,782,219297,363,3,46,1907,29,102847534.7,102847534.7,7192965.94,1832512.43,176397.25,728485.67,258883.8966,3/19/2015
495,NodeRT/NodeRT,https://github.com/NodeRT/NodeRT,18,23,67,665,17092,81,2,7,192,4,102778145.5,102778145.5,8630601.815,8630601.815,726252.79,2148935.36,1832425.25,4/20/2014
496,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,218,1691,9643,63881,53535,406,26,33,6538,293,102704355.3,102704355.3,11291959.21,1544209.54,286150.11,148021.8,2721.31,8/12/2014
497,solvespace/solvespace,https://github.com/solvespace/solvespace,89,114,499,3302,22982,258,27,10,2036,285,102494102.1,102494102.1,17388360.27,4283585.52,55315.62,633173.03,30650.52,3/26/2015
498,inviwo/inviwo,https://github.com/inviwo/inviwo,47,34,141,465,832814,56,10,4,12334,299,102410162.8,102410162.8,79839512.02,79839512.02,22491.88,36456.75,7747.26,10/25/2017
499,sofa-framework/sofa,https://github.com/sofa-framework/sofa,298,56,316,955,380373,316,66,34,26893,160,102390422.8,102390422.8,31120311.62,6357489.17,155394.55,94371.33,8086.07,5/31/2016
500,DualSPHysics/DualSPHysics,https://github.com/DualSPHysics/DualSPHysics,12,53,205,592,1344058,148,1,0,534,117,102352008,102352008,6690960.76,6690960.76,150268.99,631069.97,59751.66,11/22/2017
501,Maximus5/ConEmu,https://github.com/Maximus5/ConEmu,57,228,584,8687,97832,1045,4,265,7647,144,102161454.5,102161454.5,8038682.9,3284032.4,13961.31,629350.88,51409.17,11/26/2011
502,fritzing/fritzing-app,https://github.com/fritzing/fritzing-app,83,154,850,4115,164326,470,29,12,4135,261,102043434.9,102043434.9,5569129.08,4457147.04,21765.11,57541.68,32354.17,8/25/2014
503,JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,67,56,466,1438,51835,40,2,18,5919,206,101882078.5,101882078.5,54755268.48,54755268.48,29372.21,442905.85,45919.65,12/17/2017
504,nanocurrency/nano-node,https://github.com/nanocurrency/nano-node,101,251,792,3497,40506,273,48,110,7067,295,101880414.6,101880414.6,23627703.28,12298948.01,27198.86,33123.16,28620.5,5/1/2014
505,gabime/spdlog,https://github.com/gabime/spdlog,426,440,4649,25089,42624,49,12,40,4395,290,101854897,101854897,139055823.4,139055823.4,54466.07,253956.85,4698.58,11/1/2014
506,visualboyadvance-m/visualboyadvance-m,https://github.com/visualboyadvance-m/visualboyadvance-m,94,110,320,3418,62106,271,7,14,3398,253,101823938.7,101823938.7,67811868.12,1241237.83,24601.79,217456.86,30091.26,6/10/2015
507,facebook/folly,https://github.com/facebook/folly,1609,1013,5618,28722,46008,264,85,223,13747,281,101780884.9,101780884.9,18303306.64,9450466.65,77003.34,36830.8,6223.59,6/1/2012
508,ANTsX/ANTs,https://github.com/ANTsX/ANTs,73,68,381,1240,122773,87,5,18,5054,295,101766452.2,101766452.2,140720226.5,140720226.5,66517.95,199533.38,29420.48,1/23/2013
509,bkaradzic/bx,https://github.com/bkaradzic/bx,95,48,435,591,34135,0,2,0,2018,134,101707510.5,101707510.5,0,0,396555.21,326021.52,69251.29,4/4/2012
510,sheaivey/rx5808-pro-diversity,https://github.com/sheaivey/rx5808-pro-diversity,19,106,262,619,20190,36,3,2,458,24,101627818.7,101627818.7,6049129.667,6049129.667,38283.29,425755.48,302358.2917,8/10/2015
511,Aleph-One-Marathon/alephone,https://github.com/Aleph-One-Marathon/alephone,37,42,102,659,27103,77,10,24,6193,80,101558030.5,101558030.5,116210147.1,116210147.1,41769.29,149142.4,93154.95,7/25/2015
512,ogdf/ogdf,https://github.com/ogdf/ogdf,30,26,109,325,12164,122,5,5,373,61,101328355.2,101328355.2,26179124.67,26179124.67,3071282.47,154033.81,116127.6557,4/11/2013
513,mickelson/attract,https://github.com/mickelson/attract,41,37,115,404,17494,183,6,32,1123,18,101255044.2,101255044.2,11664242.02,6395690.39,93304.51,1186884.61,387650.0556,7/2/2013
514,htcondor/htcondor,https://github.com/htcondor/htcondor,274,20,175,286,272504,0,28,94,63826,298,101077638.1,101077638.1,0,0,48336.11,7193.29,2940.4,9/14/2012
515,lxqt/lxqt-panel,https://github.com/lxqt/lxqt-panel,254,27,134,191,13217,49,19,25,4128,290,101029125.2,101029125.2,45610972.84,45610972.84,217747.97,205376.98,13906.73,8/6/2013
516,cuberite/cuberite,https://github.com/cuberite/cuberite,261,172,645,5081,93736,517,51,3,11492,296,100492613.1,100492613.1,6851368.47,4909782.69,70242,853604.48,31742.3,7/26/2013
517,pingcap/tiflash,https://github.com/pingcap/tiflash,255,55,411,962,151724,495,91,112,19062,242,100314654.1,100314654.1,12107962.85,883016.42,605929.34,80842.01,1746.1,1/25/2019
518,ROCm/hcc,https://github.com/ROCm/hcc,113,53,108,432,23626,101,11,24,7771,3,100201595.2,100201595.2,5247666.56,9426087.21,39126.15,118606.95,132794.3333,3/22/2016
519,DS-Homebrew/TWiLightMenu,https://github.com/DS-Homebrew/TWiLightMenu,67,107,207,3353,354816,199,3,287,6155,273,100154043,100154043,3892607.19,1441746.95,61172.38,93028.08,32760.64,5/6/2017
520,keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc,446,267,1498,21915,69382,703,55,45,4764,278,100017639.5,100017639.5,11826581.6,160648.07,398723.15,178930.3,3247.08,2/28/2016
521,jfalcou/eve,https://github.com/jfalcou/eve,21,30,61,1112,58128,80,6,5,1785,210,99990025.83,99990025.83,32794155.65,32794155.65,94147.14,129152.69,4731.66,1/10/2019
522,kokkos/kokkos,https://github.com/kokkos/kokkos,214,90,443,2067,35516,423,79,26,13860,290,99583752.44,99583752.44,15048663.33,1510126.58,58105.22,31466.88,2005.69,4/8/2015
523,googleapis/google-cloud-cpp,https://github.com/googleapis/google-cloud-cpp,117,76,382,563,6564940,128,11,110,10851,275,99557447.91,99557447.91,11254587.57,2154289.45,58508.31,66604.99,6963.75,11/24/2017
524,albertz/openlierox,https://github.com/albertz/openlierox,31,19,62,269,387448,214,3,2,8503,14,99525720.67,99525720.67,6.19,2021943.18,31103.2,3132445.84,463838.7857,5/12/2011
525,wisk/medusa,https://github.com/wisk/medusa,14,84,91,1047,16647,24,3,3,1155,9,99436604.33,99436604.33,14554870.17,14554870.17,183299,848581.9,435879,12/1/2011
526,aras-p/glsl-optimizer,https://github.com/aras-p/glsl-optimizer,838,120,423,1740,159102,41,10,0,66913,20,99150335.1,99150335.1,6007981.098,6007981.098,497944.65,1645266.17,352054.15,7/29/2010
527,enigma-dev/enigma-dev,https://github.com/enigma-dev/enigma-dev,68,30,120,344,43045,111,36,36,4788,16,98970630.33,98970630.33,14010616.22,10777861.25,316283.06,1130485.42,380036.25,1/31/2012
528,TurningWheel/Barony,https://github.com/TurningWheel/Barony,29,27,132,516,81143,89,17,38,7531,131,97996704.12,97996704.12,19967065.54,19967065.54,91851.87,69431.98,73311.32,6/28/2016
529,arx/ArxLibertatis,https://github.com/arx/ArxLibertatis,59,65,130,969,49634,0,6,2,21738,36,97937086.5,97937086.5,0,0,2847.1,109099.31,212673.6667,1/17/2011
530,OpenXRay/xray-16,https://github.com/OpenXRay/xray-16,138,149,465,3101,390349,195,31,11,7991,247,97882079.13,97882079.13,59647559.99,5577146.24,25223.39,18240.94,4646.87,9/5/2014
531,roc-streaming/roc-toolkit,https://github.com/roc-streaming/roc-toolkit,43,39,217,1118,11274,101,9,15,2129,131,97872997.56,97872997.56,51129502.15,11656461.26,16819.83,101784.21,48727.53,12/15/2015
532,libretro/parallel-n64,https://github.com/libretro/parallel-n64,104,50,129,335,42132,250,2,0,5259,27,97782447,97782447,28179955.63,15152398.42,70495.96,1397342.24,283143.8148,6/3/2013
533,apache/kudu,https://github.com/apache/kudu,190,108,653,1857,88418,0,9,6,10427,132,97773441,97773441,0,0,36940.34,248839.77,63084.28,1/29/2016
534,micknoise/Maximilian,https://github.com/micknoise/Maximilian,22,94,279,1600,163255,18,10,2,555,27,97748624.3,97748624.3,163457417.3,163457417.3,176234.11,1105206.64,256500.1111,8/23/2011
535,colmap/colmap,https://github.com/colmap/colmap,137,175,1566,8047,71452,935,28,23,2013,289,97332099.07,97332099.07,3219245.38,942858.29,66634.16,47139.61,7891.19,8/16/2014
536,vcmi/vcmi,https://github.com/vcmi/vcmi,173,124,502,4673,76273,629,44,30,18865,258,96956584.66,96956584.66,10036663.91,653521,28453.21,8373.6,3231.8,4/6/2014
537,tesseract-robotics/trajopt,https://github.com/tesseract-robotics/trajopt,24,20,107,410,99438,33,5,32,780,81,96690698.8,96690698.8,77693459.45,77693459.45,138765.21,438684.56,94900.62963,6/6/2018
538,RTKConsortium/RTK,https://github.com/RTKConsortium/RTK,71,38,146,248,15499,37,14,7,5477,159,96376614.93,96376614.93,53517426,53517426,119378.82,614973.09,38340.61,7/9/2010
539,ElementsProject/elements,https://github.com/ElementsProject/elements,1087,122,384,1078,149423,158,31,32,38996,123,96339326.58,96339326.58,47035172.65,10420275.39,145021.08,367828.1,65817.95,6/8/2015
540,log4cplus/log4cplus,https://github.com/log4cplus/log4cplus,47,96,561,1666,26364,52,6,33,2638,99,96337926.17,96337926.17,58567141.87,58567141.87,426058.93,322298.46,80182.82828,1/11/2014
541,cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,209,126,1077,5563,208636,219,16,46,3580,282,96253668.69,96253668.69,8351523.8,3647805.1,39584.89,214852.39,11338.13,7/1/2013
542,trustwallet/wallet-core,https://github.com/trustwallet/wallet-core,153,152,1661,2959,31689,30,9,317,1508,284,95748067.44,95748067.44,69297294,69297294,21078.6,242400.72,6298.1,2/14/2019
543,ra3xdh/qucs_s,https://github.com/ra3xdh/qucs_s,78,44,117,919,36814,24,1,20,5797,270,95695439,95695439,164696799.7,164696799.7,107917.53,34252.7,9112.65,7/2/2017
544,ketoo/NoahGameFrame,https://github.com/ketoo/NoahGameFrame,66,327,1102,4025,30166,24,1,17,4958,74,95629226,95629226,33219762.71,33219762.71,41808.95,469872.5,107613.5946,5/16/2014
545,Dwarf-Therapist/Dwarf-Therapist,https://github.com/Dwarf-Therapist/Dwarf-Therapist,61,44,54,639,34086,43,4,45,1652,27,95465216.75,95465216.75,13476079.81,13476079.81,25915.64,1313317.05,245657.5556,9/17/2017
546,pascallanger/DIY-Multiprotocol-TX-Module,https://github.com/pascallanger/DIY-Multiprotocol-TX-Module,45,133,444,1677,153640,93,4,64,2517,174,94617514.5,94617514.5,26042095.78,26042095.78,37971.15,286843.83,23306.89,12/28/2015
547,eiskaltdcpp/eiskaltdcpp,https://github.com/eiskaltdcpp/eiskaltdcpp,49,30,77,375,57890,220,2,4,5755,32,94576073,94576073,45477035.63,21196348.99,18125.94,1208062.89,169855.625,10/15/2010
548,facebookarchive/LogDevice,https://github.com/facebookarchive/LogDevice,177,85,214,1898,34139,10,1,7,5542,4,94498043,94498043,25746107.9,25746107.9,11951.36,11883.2,1685739.5,9/12/2018
549,stream-labs/obs-studio-node,https://github.com/stream-labs/obs-studio-node,24,15,102,628,126976,54,11,115,2564,121,94379112.82,94379112.82,4373213.056,4373213.056,52882.22,328297.36,67857.51,10/26/2017
550,cinder/Cinder,https://github.com/cinder/Cinder,177,267,950,5364,427248,318,69,2,9140,79,94106439.14,94106439.14,42338469.6,10289739.62,15605.4,563352,97943.98734,4/21/2010
551,ZQuestClassic/ZQuestClassic,https://github.com/ZQuestClassic/ZQuestClassic,25,31,79,472,1246696,9,6,508,10599,218,93586442.33,93586442.33,267682312.1,267682312.1,199946.97,27435.36,12031.06,2/18/2015
552,microsoft/CCF,https://github.com/microsoft/CCF,61,41,217,791,213560,115,11,220,4340,290,93146078.36,93146078.36,11584705.78,2602735.1,50562.35,61434.41,2389.94,4/8/2019
553,colobot/colobot,https://github.com/colobot/colobot,88,63,193,1139,57191,338,28,15,4316,238,92913294.82,92913294.82,13696618.17,28311812.22,11987.85,81508.43,8949.22,3/8/2012
554,CytopiaTeam/Cytopia,https://github.com/CytopiaTeam/Cytopia,62,32,108,2018,154831,82,6,5,2858,81,92697519,92697519,63481635.18,63481635.18,51430.49,773046.28,90684.28395,4/20/2018
555,supercollider/sc3-plugins,https://github.com/supercollider/sc3-plugins,72,48,123,465,18035,58,10,22,1385,26,92666095.7,92666095.7,27363533.95,27363533.95,178029.95,1027934.11,289834.8077,12/1/2012
556,tenzir/tenzir,https://github.com/tenzir/tenzir,55,36,90,658,1658046,0,25,176,23511,276,92550482.44,92550482.44,0,0,25138.99,12452.24,1791.17,9/23/2010
557,lattice/quda,https://github.com/lattice/quda,105,58,102,301,105240,196,19,5,14585,294,92133544.21,92133544.21,38069641.59,9879606.94,281787.6,70527.02,12442.1,1/27/2011
558,sskodje/ScreenRecorderLib,https://github.com/sskodje/ScreenRecorderLib,10,21,95,427,38378,19,1,13,741,125,92068615,92068615,157917825.4,157917825.4,535237.65,536621.96,58332.94,1/1/2018
559,peterbraden/node-opencv,https://github.com/peterbraden/node-opencv,121,163,855,4379,10305,115,12,1,987,13,92026054.25,92026054.25,33273937.86,21189909.95,219346.42,1638256.98,440471.1538,1/14/2012
560,borglab/gtsam,https://github.com/borglab/gtsam,265,61,789,2709,76024,90,19,16,18213,295,91702635.79,91702635.79,45383950.1,45383950.1,53537.76,10102.21,4974.44,3/27/2017
561,live-keys/livekeys,https://github.com/live-keys/livekeys,9,44,86,563,27946,17,1,12,1531,1,91700653,91700653,108277415.8,108277415.8,552147.39,60838.09,0,6/13/2013
562,reo7sp/tgbot-cpp,https://github.com/reo7sp/tgbot-cpp,52,37,248,1041,12298,69,2,12,516,96,91560482,91560482,16124072.16,16124072.16,445269.86,743032.39,82332.15625,6/30/2015
563,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,214,833,5327,26740,241337,857,24,764,19073,257,91471115.63,91471115.63,14069267.98,278005.56,96591.08,15011.82,3304.87,5/2/2014
564,ned14/outcome,https://github.com/ned14/outcome,26,21,64,737,198115,10,1,172,2448,83,91359440,91359440,132548403.5,132548403.5,49477.09,683455.46,90600.22892,6/23/2014
565,microsoft/calculator,https://github.com/microsoft/calculator,102,591,5470,29975,38809,359,19,0,863,268,91184094.37,91184094.37,5013888.93,5388304.19,33834.46,690725.74,15551.84,1/28/2019
566,ihhub/fheroes2,https://github.com/ihhub/fheroes2,160,50,389,2824,126463,509,35,62,4989,242,91062030.51,91062030.51,9092270.15,1212996.83,69527.34,44623.64,1483.75,8/30/2019
