contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
11,23,66,959,36928,50,12,11,643,109,66238603.58,66238603.58,79519744.66,79519744.66,1286378.53,598950.06,53465.91,1537920000.0
277,223,666,6053,47562,56,16,3,8029,285,66234664.69,66234664.69,94328250.75,94328250.75,24810.46,43979.08,20722.15,1458777600.0
28,48,89,498,129346,26,4,50,3578,76,66154783.5,66154783.5,51031055.96,51031055.96,106166.21,159198.95,98079.59211,1505001600.0
25,106,297,640,113073,125,13,22,2700,16,66047986.62,66047986.62,22500895.13,31252780.07,33461.42,1099556.26,449945.5,1362787200.0
6,11,30,447,912013,1,2,12,678,88,65919131.0,65919131.0,91155312.0,91155312.0,17089.47,750636.43,89342.94318,1540512000.0
22,119,251,2894,63805,69,6,8,507,107,65655637.83,65655637.83,98848143.42,98848143.42,346471.36,816335.03,74009.85,1386288000.0
201,67,400,1042,324427,430,58,5,21647,256,65595819.0,65595819.0,32364357.05,6666316.49,291984.2,51931.79,4347.06,1435276800.0
42,36,95,602,523703,316,4,68,6656,277,65436687.75,65436687.75,6805706.75,2514836.9,115072.89,237230.87,9470.84,1470960000.0
6,17,39,443,35782,11,2,136,1122,64,65193762.5,65193762.5,38204520.36,38204520.36,42091.65,272918.65,116899.0625,1576540800.0
64,158,468,3870,249216,463,7,50,6874,294,65092707.86,65092707.86,2319425.57,2053986.73,518425.12,360623.63,17530.08,1367193600.0
233,104,833,11692,54718,1032,71,33,6059,247,64893698.55,64893698.55,47002940.07,619054.74,50233.45,220740.45,4789.35,1375920000.0
41,178,593,2069,197023,122,5,20,26244,279,64568676.0,64568676.0,55929860.98,748195.25,27084.33,38529.29,2118.37,1425340800.0
9,69,96,1689,38717,28,1,4,1195,17,64256423.0,64256423.0,6218266.143,6218266.143,67207.55,782212.23,385459.5882,1537920000.0
13,133,266,1457,12397,90,10,25,843,17,64010858.0,64010858.0,13595480.93,13595480.93,6683.44,1043086.36,403270.0,1346025600.0
78,233,1009,3108,27361,240,60,14,2616,95,63991259.48,63991259.48,5462784.6,5076618.73,101753.54,943492.81,80155.74737,1354060800.0
20,35,84,631,15816,13,1,17,1937,154,63975057.0,63975057.0,56547023.62,56547023.62,15122.74,397820.13,37234.99,1462838400.0
47,39,175,405,21791,22,6,1,2336,10,63923479.83,63923479.83,71598269.86,71598269.86,220277.57,1416667.24,607343.3,1274227200.0
105,112,1111,3140,10835,174,5,6,1595,182,63674887.0,63674887.0,17400419.82,4319679.52,41333.92,376712.83,8637.72,1326326400.0
10,37,99,596,28161,77,3,21,1028,16,63228509.67,63228509.67,5859234.844,5859234.844,20226.57,1897304.05,448543.5625,1423872000.0
101,106,199,708,125808,45,14,6,2294,5,62692405.43,62692405.43,34825047.62,34825047.62,21940.63,840326.04,1060277.2,1390176000.0
24,30,54,821,39983,121,3,6,1560,17,62553877.33,62553877.33,8310143.34,15756225.27,140631.18,458549.27,446446.7059,1459209600.0
12,63,236,701,31854,49,6,21,2439,7,62452831.33,62452831.33,21015483.29,21015483.29,69265.78,260812.24,804226.8571,1391299200.0
135,77,482,3649,11655,137,16,30,1778,294,62302042.94,62302042.94,11643400.75,1235214.78,53688.91,93082.74,7552.5,1565827200.0
64,70,664,2004,84079,96,11,16,783,75,62098953.27,62098953.27,31936544.4,31936544.4,185163.5,2360965.46,104246.84,1355788800.0
47,76,192,1148,75052,127,1,11,2361,110,61889241.0,61889241.0,43525469.05,8678302.33,318846.6,291880.34,65822.84,1333411200.0
11,24,55,639,48978,49,4,13,269,66,61766438.5,61766438.5,93861244.27,93861244.27,35408.89,1241547.65,120316.4242,1570233600.0
24,39,79,1235,13091,26,3,31,3482,298,61729823.0,61729823.0,74491492.12,74491492.12,102732.41,42438.99,6024.55,1517356800.0
57,223,1138,6390,170791,34,13,64,3546,284,61696467.69,61696467.69,92865137.0,92865137.0,332609.74,209348.33,21876.3,1418342400.0
10,127,267,903,116520,8,6,2,110,6,61636676.83,61636676.83,35920887.63,35920887.63,352577.55,357245.99,992866.1667,1360627200.0
56,168,258,2218,75765,214,7,319,7451,110,61438866.43,61438866.43,18866512.91,1717416.25,53337.09,354407.39,49438.26,1460073600.0
199,106,506,1908,24850,115,71,122,7654,243,61363864.85,61363864.85,29784571.09,2263811.08,880388.54,95671.13,9276.97,1374192000.0
36,20,56,457,202898,113,43,1,2208,298,61008080.35,61008080.35,21900124.77,5056462.54,445818.25,82991.08,7050.98,1417737600.0
29,21,97,414,13473,10,7,13,640,43,60578405.43,60578405.43,28984713.1,28984713.1,566708.48,1125196.71,181551.8372,1381881600.0
15,32,54,160,208122,9,2,1,488,7,60541816.5,60541816.5,16113698.11,16113698.11,1022351.1,672193.51,1047262.286,1382227200.0
31,34,143,644,44538,50,3,11,4575,297,59799875.0,59799875.0,63427044.54,63427044.54,716291.68,108277.23,25461.69,1444867200.0
175,89,329,2629,373732,197,9,27,13773,299,59544617.11,59544617.11,12949862.27,1794930.23,368741.01,74625.96,13368.12,1478304000.0
89,84,544,2264,23048,222,9,7,9597,295,59331448.11,59331448.11,31203272.36,1549652.65,38965.8,33387.55,16070.48,1408838400.0
24,25,125,571,28437,64,4,24,766,8,59283251.5,59283251.5,25185290.69,25185290.69,32146.82,1640630.09,795865.0,1399334400.0
134,162,826,3713,175776,672,48,18,14016,133,58868184.63,58868184.63,10121311.06,3786102.91,265914.42,216714.16,58852.24,1318291200.0
32,51,83,178,36697,66,4,20,1530,16,58753045.5,58753045.5,159661711.6,159661711.6,28405.74,636593.21,342001.1875,1378771200.0
