No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
850,EspoTek/Labrador,https://github.com/EspoTek/Labrador,16,51,119,1109,118653,36,4,9,590,37,56362842.75,56362842.75,36183455.28,36183455.28,208210.56,1427477.98,214840.4054,9/7/2016
851,plumed/plumed2,https://github.com/plumed/plumed2,108,34,296,396,190787,120,19,61,14006,293,56315491.21,56315491.21,23418687.48,3704992.63,85657.29,86630.98,39052.18,5/8/2013
853,jackaudio/jack2,https://github.com/jackaudio/jack2,120,98,378,2243,15819,322,40,12,4076,92,56104840.6,56104840.6,37002076.04,3240035.3,69449.32,1846901.92,81595.53261,2/2/2012
854,GPUOpen-LibrariesAndSDKs/Cauldron,https://github.com/GPUOpen-LibrariesAndSDKs/Cauldron,6,31,84,944,63439,8,5,10,23,35,55799612.8,55799612.8,14784734.5,14784734.5,4260070.565,4260070.565,223446.7429,7/23/2019
855,MTG/essentia,https://github.com/MTG/essentia,81,110,540,2920,313326,371,41,6,3662,183,55756182.02,55756182.02,22348702.41,11668530.45,65459.8,194314.61,41551.38,6/3/2013
856,ivansafrin/Polycode,https://github.com/ivansafrin/Polycode,47,159,349,2383,288951,185,25,1,1694,12,55472901.04,55472901.04,22023325.58,13376337.7,175588.78,231831.6,491580.4167,12/8/2010
857,google/filament,https://github.com/google/filament,170,381,1919,18019,715584,138,19,210,6706,273,55431961.21,55431961.21,4037118.08,1545234.78,6391.95,73329.88,1491.28,8/3/2018
858,coin-or/Clp,https://github.com/coin-or/Clp,27,18,85,417,81768,41,2,9,2114,37,55318447.0,55318447.0,13714911.95,13714911.95,208280.92,838325.54,184566.9189,3/2/2019
859,seladb/PcapPlusPlus,https://github.com/seladb/PcapPlusPlus,152,96,683,2789,92722,36,16,14,2303,283,55211223.0,55211223.0,65180440.64,65180440.64,205624.13,134874.8,5746.98,10/7/2014
861,QuiteRSS/quiterss,https://github.com/QuiteRSS/quiterss,27,66,126,1027,33203,434,2,10,3957,29,55172781.0,55172781.0,0.2,3153805.54,17557.56,639802.63,262405.3103,3/21/2015
863,mosra/corrade,https://github.com/mosra/corrade,34,32,108,490,17701,19,20,12,5050,104,54682110.45,54682110.45,46048100.95,46048100.95,82196.45,79501.04,61465.81,11/28/2011
865,greta-dev/greta,https://github.com/greta-dev/greta,20,26,64,558,44973,170,9,11,2444,87,54245126.11,54245126.11,10689271.58,19008529.06,138460.84,105201.9,81593.16092,11/15/2016
866,facebookresearch/habitat-sim,https://github.com/facebookresearch/habitat-sim,60,80,437,2745,108890,170,52,27,1625,287,54233079.04,54233079.04,19113505.07,2475924.33,152935.36,309569.15,14396.08,2/4/2019
869,NatronGitHub/openfx-misc,https://github.com/NatronGitHub/openfx-misc,13,30,93,297,32273,21,1,61,3361,9,54161851.0,54161851.0,40486797.67,40486797.67,120771.45,1244896.53,819668.7778,10/15/2013
870,ShiqiYu/libfacedetection,https://github.com/ShiqiYu/libfacedetection,24,534,3051,12395,123624,52,3,2,210,158,54007290.33,54007290.33,70956551.27,70956551.27,1312799.98,1748768.6,52107.11,1/20/2015
874,google/fhir,https://github.com/google/fhir,41,60,191,849,97371,19,12,18,1447,152,53662970.83,53662970.83,9571650.368,9571650.368,203531.26,375913.83,44059.56,1/10/2018
875,buddhi1980/mandelbulber2,https://github.com/buddhi1980/mandelbulber2,45,45,118,925,300307,192,2,56,7430,150,53629990.5,53629990.5,7590943.21,8141738.04,135743.17,123017.26,57246.97,3/28/2015
876,mysensors/MySensors,https://github.com/mysensors/MySensors,117,181,896,1325,29524,146,24,13,2118,33,53550138.42,53550138.42,6556508.5,6934696.06,95050.45,1454105.87,232183.4545,1/22/2014
878,FlagBrew/PKSM,https://github.com/FlagBrew/PKSM,63,130,178,1791,40913,68,2,39,2912,94,53415536.5,53415536.5,57491869.29,57491869.29,17552.35,511481.51,81507.15957,5/15/2016
880,uxlfoundation/oneTBB,https://github.com/uxlfoundation/oneTBB,107,166,1042,5872,53064,110,73,55,633,280,53214704.48,53214704.48,38269073.78,5673520.18,1548143.22,204023.71,2789.28,9/7/2016
881,mapsme/omim,https://github.com/mapsme/omim,210,181,1147,4583,5148685,933,72,26,34890,23,53082201.32,53082201.32,10190626.81,3465884.01,24201.9,91825.9,319283.5652,9/20/2015
882,vincentlaucsb/csv-parser,https://github.com/vincentlaucsb/csv-parser,33,27,159,939,10731,22,10,32,327,55,52893870.9,52893870.9,110910626.6,110910626.6,71805.34,1505875.15,142372.5455,9/21/2017
883,fcitx/fcitx5,https://github.com/fcitx/fcitx5,49,25,121,1708,15419,41,4,2,2026,293,52808437.0,52808437.0,31455808.66,31455808.66,387683.49,218659.03,16394.53,8/4/2015
884,duckdb/duckdb,https://github.com/duckdb/duckdb,502,205,2039,25855,325573,287,72,45,53392,257,52686620.99,52686620.99,22049185.04,461135.25,23960.26,1940.85,793.71,6/26/2018
885,appliedAI-Initiative/orb_slam_2_ros,https://github.com/appliedAI-Initiative/orb_slam_2_ros,18,17,282,621,74714,55,1,4,147,20,52496830.0,52496830.0,5242925.891,5242925.891,328507.97,892312.3,270820.6,8/3/2018
886,kmkolasinski/AwesomeBump,https://github.com/kmkolasinski/AwesomeBump,14,123,178,1680,72460,16,2,17,290,20,52412031.5,52412031.5,143219002.9,143219002.9,104221.97,1352051.22,354157.75,12/10/2014
888,mldbai/mldb,https://github.com/mldbai/mldb,24,45,102,668,51834,14,14,20,3539,23,52363719.07,52363719.07,40778959.0,40778959.0,10497.62,1079696.97,239567.7391,12/8/2015
889,erich666/Mineways,https://github.com/erich666/Mineways,12,17,61,413,131644,15,1,98,1218,67,52341792.0,52341792.0,111716528.9,111716528.9,1104530.61,335235.59,112599.9104,3/11/2012
890,mapcrafter/mapcrafter,https://github.com/mapcrafter/mapcrafter,25,43,158,636,751911,75,9,34,1469,5,52294292.33,52294292.33,31903011.57,31903011.57,118260.03,830029.02,1241630.0,12/23/2012
892,jianboqi/CSF,https://github.com/jianboqi/CSF,8,21,133,522,10374,12,1,2,164,32,52188333.0,52188333.0,38593305.67,38593305.67,798910.32,2151450.85,248227.9375,6/21/2016
893,vircadia/vircadia-native-core,https://github.com/vircadia/vircadia-native-core,350,28,175,531,1088148,361,29,20,85862,10,52148019.55,52148019.55,45467070.83,32593798.17,107116.71,480497.12,668908.8,12/2/2019
894,alexa/avs-device-sdk,https://github.com/alexa/avs-device-sdk,33,196,605,1256,7329601,37,12,44,102,5,51897986.5,51897986.5,233411654.7,233411654.7,1614121.39,2163200.76,1084778.4,2/9/2017
